Episodes,Rewards
0,0.2900000000000001
1,4.999999999999938
2,2696.65
3,3258.26
4,2363.63
5,1716.5099999999998
6,3394.34
7,2394.7999999999997
8,4529.6
9,0.7000000000000004
10,4243.17
11,4394.73
12,3488.6
13,4158.1900000000005
14,3970.5699999999997
15,3323.56
16,3094.33
17,3931.04
18,3237.15
19,2997.02
20,2116.33
21,3757.21
22,2103.5299999999997
23,1995.9999999999995
24,5707.37
25,3588.99
26,1748.36
27,2601.14
28,4721.860000000001
29,1387.9499999999998
30,5210.33
31,2981.08
32,3368.05
33,6027.0
34,4726.53
35,4068.2200000000003
36,2004.88
37,3286.49
38,1279.58
39,3003.3
40,3246.8
41,3441.12
42,1925.09
43,3462.6
44,5090.3099999999995
45,4300.639999999999
46,3297.76
47,4100.05
48,3778.54
49,3484.4
50,0.8300000000000005
51,1.5900000000000012
52,5018.5
53,1.9100000000000015
54,2924.67
55,5466.639999999999
56,4.999999999999938
57,3732.92
58,5017.66
59,5439.23
60,4174.4
61,1.470000000000001
62,4237.02
63,0.2800000000000001
64,0.4000000000000002
65,4000.48
66,1.1800000000000008
67,5242.07
68,0.8900000000000006
69,0.5700000000000003
70,1.1600000000000008
71,3375.36
72,4874.84
73,5163.32
74,0.060000000000000005
75,3491.64
76,2606.69
77,5254.17
78,6240.1900000000005
79,510.34999999999997
80,0.01
81,0.19000000000000003
82,1.6300000000000012
83,3434.95
84,0.9500000000000006
85,4351.71
86,4278.43
87,0.7000000000000004
88,3272.36
89,5513.1900000000005
90,4450.9
91,0.8000000000000005
92,3837.36
93,0.12999999999999998
94,3582.5299999999997
95,4464.34
96,4443.43
97,4356.389999999999
98,5251.71
99,3653.86
