Episodes,Rewards
0,0.009633898490565547
1,588.3175876097663
2,0.0009775231410869148
3,423.245511662562
4,369.436999664906
5,534.526783696015
6,648.2336232651169
7,828.8938858424374
8,605.9694657140881
9,918.4934696279986
10,743.0401306161008
11,1.4293960064249488e-05
12,1120.1612981912529
13,2.6271542835357797e-07
14,0.0001498920052623352
15,808.6392765721944
16,0.00033149095419357554
17,408.17329296075195
18,1310.354015051414
19,4.978142171760447e-06
20,9.371051897391836e-08
21,0.09254181571745267
22,0.032262538949892644
23,2.0615857075124797e-06
24,0.0003756136819874139
25,1.4454380150381664e-09
26,1291.228129144617
27,1.3190080086036677e-06
28,5.712151281112936e-07
29,0.008798540711205114
30,0.0019728248178102537
31,0.06475697858272171
32,6.208603312390929e-08
33,3.4467339861652793e-07
34,2.50900611058025e-07
35,0.0004843630319129734
36,0.025469932856438553
37,0.47397331924067765
38,0.4930549555885404
39,0.028680921469477507
40,1460.9755224530302
41,0.006285496273419413
42,1577.9353470245233
43,0.019485843524472926
44,6.114498245762882e-07
45,1623.467711955517
46,1659.2025671400272
47,0.007912563609435559
48,0.004104966177242655
49,8.225350260862987e-07
50,7.56553518563207e-08
51,0.0001228908125136217
52,2097.4795569060957
53,1704.2421008685055
54,0.006278011695649389
55,0.014464525874257039
56,1771.6882557005051
57,0.014309144093251467
58,1306.8644560105886
59,0.006752942982936982
60,1931.54805121246
61,2100.7067153310372
62,0.0004885967814179515
63,0.006016140767325156
64,1874.5560739347732
65,2050.2641873306607
66,2114.178432694353
67,0.000100961410007297
68,1994.929270250551
69,1889.0582140529027
70,1995.181730506748
71,1745.0980629740127
72,0.002083372635164972
73,0.017964489035337275
74,1971.8059409137632
75,795.8730774260777
76,0.003788677899466349
77,1484.3993571168216
78,1101.447221799541
79,0.0033616787914824905
80,2308.534962551429
81,1964.3688042890149
82,2467.1514103184786
83,0.0004259365735812254
84,1429.4215050362213
85,2039.2610772476476
86,2809.0913485598744
87,0.004983433067943538
88,2797.35231592022
89,2522.537490426852
90,2383.4969582349204
91,3173.635452867117
92,2980.02320332228
93,3114.5676996174766
94,3175.288718007324
95,2774.2911131043825
96,1737.0006196463703
97,2745.2684705516835
98,3188.8534119468045
99,3417.9498664184675
